tat_in_days
13
12
15
15
14
13
14
13
13
10
12
9
12
16
12
10
11
11
11
10
12
12
11
14
13
14
15
12
10
13
12
15
11
14
15
12
13
11
12
10
10
12
10
13
12
13
12
12
12
14
13
11
11
16
12
16
12
10
9
9
11
14
16
16
7
19
12
11
11
11
9
11
13
12
30
13
10
14
12
12
14
11
12
12
13
11
13
10
10
11
10
10
15
10
11
14
10
12
12
13
11
13
11
13
17
11
13
10
13
13
12
11
12
15
10
13
12
16
14
14
15
15
12
13
12
18
12
10
11
11
10
12
12
9
9
13
10
12
11
13
12
11
13
12
12
11
11
9
11
13
12
15
13
13
14
16
11
14
13
10
14
9
11
14
11
10
9
13
12
12
14
11
13
11
13
15
15
13
11
12
18
14
12
11
10
13
11
11
11
11
13
14
15
9
9
11
12
11
11
14
12
12
10
17
12
12
13
14
11
12
12
15
12
11
10
13
13
13
12
10
14
10
13
12
12
17
10
18
14
12
12
13
13
10
10
12
13
18
9
12
15
12
14
11
14
14
13
14
11
13
13
13
13
9
11
12
12
13
16
14
12
12
12
13
12
14
15
15
14
13
11
10
13
12
12
12
14
16
14
14
13
11
11
11
9
10
14
14
14
11
12
12
14
13
11
12
18
10
11
11
11
11
12
17
12
14
11
13
10
14
14
11
10
11
10
12
14
12
11
8
12
11
14
12
18
16
16
13
18
11
12
13
11
14
14
9
9
12
12
15
15
11
14
14
18
13
12
11
13
13
13
14
11
15
12
10
10
10
13
11
13
14
12
12
15
12
14
11
15
11
14
14
13
12
12
11
14
12
17
11
12
11
10
10
8
11
11
12
18
11
11
16
17
12
12
11
12
12
12
9
10
12
14
10
9
12
14
14
12
12
14
12
10
14
12
10
12
11
10
9
11
11
17
14
13
12
12
11
14
12
13
11
12
13
11
17
13
13
11
15
12
15
10
12
17
11
10
10
10
14
11
12
18
15
14
10
13
13
12
12
14
10
13
11
11
13
11
11
14
12
8
8
9
12
12
10
13
14
14
13
13
12
13
13
13
10
12
13
12
12
13
12
13
13
10
9
13
9
10
11
12
13
12
14
14
10
10
12
17
11
11
11
13
15
11
9
12
14
13
12
12
12
11
16
11
11
16
11
12
10
12
12
12
11
11
14
13
11
11
12
10
10
14
13
14
16
13
11
9
12
12
14
12
14
14
15
12
13
13
10
14
12
13
13
13
9
14
13
10
14
10
14
15
14
14
7
11
10
10
12
10
10
13
13
9
10
8
10
14
14
17
10
10
14
12
12
12
8
10
13
14
12
13
13
13
13
15
10
13
13
13
12
12
13
15
12
18
11
12
13
11
11
10
10
12
13
13
9
10
13
12
13
13
12
13
13
12
14
13
13
11
11
11
10
14
13
13
15
14
14
11
14
12
11
13
10
10
10
10
10
12
12
15
10
13
13
11
13
16
8
13
11
12
12
11
12
12
13
14
11
13
12
13
16
11
14
16
17
12
16
13
13
11
10
10
12
10
13
14
18
18
15
15
12
12
13
13
10
13
13
13
13
9
12
13
10
8
12
11
20
17
13
13
13
14
13
17
13
14
12
12
11
11
18
10
12
12
11
9
13
12
12
12
15
18
18
13
13
14
14
14
12
12
13
10
9
11
11
12
13
8
11
14
10
14
17
10
13
15
13
16
13
8
7
16
10
10
13
11
9
14
13
10
13
15
14
15
15
12
12
11
13
12
13
24
8
14
12
13
10
9
13
10
14
11
11
13
13
10
12
13
10
12
12
12
12
12
11
10
10
11
12
10
9
11
13
14
12
9
10
12
13
13
13
15
12
11
12
11
11
11
14
13
13
15
10
11
13
12
12
16
10
13
10
13
13
10
15
14
13
10
14
10
9
11
16
11
16
12
12
11
14
17
11
11
10
10
10
12
12
10
16
12
12
12
14
11
10
15
12
14
14
27
10
13
13
11
14
15
11
12
12
11
12
12
14
14
15
14
12
10
12
12
11
10
13
12
15
15
11
12
10
13
13
14
11
12
12
14
20
17
12
12
15
12
13
11
13
12
14
11
14
8
11
11
12
12
11
12
10
13
15
11
14
15
12
15
15
12
12
14
11
12
11
15
13
16
11
11
9
9
10
12
9
13
12
16
14
10
14
13
12
10
13
13
14
10
12
12
14
12
14
13
14
12
14
12
11
11
16
11
11
12
14
15
8
10
9
10
12
11
11
12
15
14
13
10
12
11
13
15
11
10
13
11
12
10
11
13
11
13
15
13
12
10
17
14
13
12
12
13
11
10
8
10
10
9
14
15
10
9
12
16
10
10
12
12
13
10
11
12
10
14
14
11
11
10
11
11
13
14
11
12
12
10
12
15
11
13
12
12
14
12
12
16
10
10
11
11
11
11
10
13
14
13
10
12
11
13
13
12
13
11
11
13
14
10
13
11
14
10
12
9
9
12
14
10
11
11
11
12
10
11
10
11
11
10
14
14
13
11
13
9
12
11
14
14
12
12
13
13
13
12
12
14
10
15
13
13
13
14
10
8
10
14
10
7
12
11
11
12
12
12
11
13
8
13
15
13
11
16
11
13
14
15
13
12
16
12
13
15
13
14
13
12
10
12
12
14
10
11
13
10
10
10
11
9
13
10
11
14
14
12
12
11
9
11
14
13
18
10
10
12
12
10
15
11
12
12
10
15
13
18
13
10
14
10
13
14
14
11
12
7
11
12
13
12
14
15
15
11
11
14
12
14
11
17
17
15
13
13
11
8
11
10
9
13
9
8
15
12
13
10
10
12
11
10
14
14
12
11
15
12
11
11
15
14
12
11
11
11
15
13
10
9
10
12
14
11
11
9
12
11
13
9
12
13
11
14
15
10
13
14
14
13
11
14
11
11
14
13
13
14
10
12
12
11
10
10
10
10
14
13
14
17
11
10
10
11
14
12
12
14
13
10
10
12
10
15
14
15
11
13
12
13
16
11
11
9
13
10
13
10
10
14
12
15
12
20
9
14
12
13
14
11
11
14
12
14
15
13
11
13
11
13
8
11
10
12
18
12
10
11
8
13
10
12
10
14
17
11
13
11
12
15
12
10
11
12
13
11
14
12
11
14
11
12
13
12
13
8
8
10
12
10
11
10
7
7
10
12
11
12
11
13
13
12
8
11
11
13
10
12
15
13
15
12
14
16
10
11
16
9
13
10
10
9
13
9
13
12
13
11
14
13
10
10
13
15
15
13
14
16
14
12
15
13
14
11
12
14
14
14
11
14
13
9
15
15
13
9
11
13
10
12
13
13
9
14
14
15
13
12
11
12
13
17
14
13
19
12
15
12
13
13
14
18
11
13
10
10
17
12
11
9
14
12
12
10
12
11
13
11
11
13
13
11
11
14
14
15
14
13
12
12
13
13
14
10
10
12
11
10
9
15
15
15
10
10
13
10
10
11
14
9
16
12
11
10
11
14
14
11
13
14
14
15
11
10
13
10
10
7
15
11
15
15
12
15
14
14
11
8
12
15
10
10
7
12
12
12
12
15
10
13
11
14
12
13
14
12
12
13
11
14
15
14
19
15
13
12
11
12
12
11
11
10
15
13
13
13
16
12
15
15
12
11
10
13
12
13
16
13
12
12
11
12
10
14
10
12
13
11
11
13
9
14
11
15
13
11
12
11
15
8
14
17
12
13
11
14
11
15
11
13
12
13
15
15
13
13
16
11
11
10
10
12
10
13
9
15
8
13
10
8
11
12
12
12
12
12
12
12
11
12
12
13
11
17
8
14
11
10
8
12
9
10
9
15
10
14
17
12
8
11
11
10
13
13
11
18
13
13
16
14
11
11
11
16
11
14
13
13
10
13
12
13
14
9
9
11
10
11
8
13
11
12
13
11
14
13
12
16
13
10
12
13
14
12
14
13
15
18
17
11
14
11
10
17
10
12
10
9
10
15
10
9
9
12
10
13
10
11
13
13
11
12
11
11
19
14
12
10
12
10
13
10
8
12
10
10
10
13
11
14
11
12
11
9
13
14
11
15
13
13
11
13
11
10
14
10
12
11
12
11
10
11
12
12
12
14
12
12
12
14
14
11
11
10
14
10
12
13
14
12
11
14
10
17
17
10
14
14
13
15
10
9
12
13
10
9
8
17
14
10
12
12
16
11
13
12
11
13
12
12
12
11
13
14
13
11
13
12
14
12
10
14
10
10
10
10
11
20
15
14
16
12
10
12
14
13
12
13
12
14
12
13
12
14
12
12
12
12
11
11
12
11
13
9
14
11
10
12
10
13
12
11
9
13
11
12
8
11
11
11
13
10
11
11
13
8
12
13
11
15
12
13
14
15
12
10
12
15
13
12
11
9
10
14
12
11
11
13
12
15
11
12
13
11
15
11
13
11
11
11
17
12
12
15
13
10
10
11
13
12
11
9
13
15
12
12
11
10
17
11
12
15
15
15
14
14
11
12
13
10
12
10
11
14
11
12
8
9
10
15
11
15
12
10
11
12
12
13
12
11
8
13
11
10
13
8
9
13
13
12
11
14
15
12
17
16
13
11
12
12
10
14
11
9
11
14
11
12
15
13
9
12
13
11
10
12
11
14
13
12
12
13
12
14
10
11
11
10
12
13
13
11
14
14
11
15
14
11
15
14
8
9
9
13
13
14
12
11
12
18
14
13
18
13
13
11
10
13
10
11
14
12
12
12
16
11
12
11
12
11
11
